N,t(s),m(kg),P(N),V(m/s),M,Cxa,alpha(deg),theta_c(deg),Cya,omega_z(1/s),theta(deg),y(m),x(m)
1,0.000000,1255.000000,190704.840808,65.000000,0.199929,0.300000,0.000000,48.000000,0.000000,0.030000,48.000000,3869.000000,0.000000
2,0.100000,1246.500000,190710.922217,79.510173,0.244576,0.300000,0.000000,47.475330,0.000000,0.030000,48.171887,3874.340138,4.855212
3,0.200000,1238.000000,190718.170520,94.125323,0.289556,0.300000,0.000000,47.035158,0.000000,0.030000,48.343775,3880.708863,10.743354
4,0.300000,1229.500000,190726.582556,108.845094,0.334869,0.300000,0.000000,46.655980,0.000000,0.030000,48.515662,3888.105467,17.679878
5,0.400000,1221.000000,190736.155931,123.669326,0.380516,0.300000,0.000000,46.322958,0.000000,0.030000,48.687549,3896.530244,25.679105
6,0.500000,1212.500000,190746.888740,138.597983,0.426499,0.300000,0.000000,46.026115,0.000000,0.030000,48.859437,3905.984255,34.754518
7,0.600000,1204.000000,190758.779381,153.631111,0.472821,0.300000,0.000000,45.758413,0.000000,0.030000,49.031324,3916.469162,44.918962
8,0.700000,1195.500000,190771.826423,168.768817,0.519484,0.300000,0.000000,45.514696,0.000000,0.030000,49.203211,3927.987115,56.184777
9,0.800000,1187.000000,190786.028498,184.010505,0.566487,0.316487,0.000000,45.291075,0.000000,0.030000,49.375099,3940.540668,68.563892
10,0.900000,1178.500000,190801.383830,199.345872,0.613801,0.363801,0.000000,45.084536,0.000000,0.030000,49.546986,3954.132351,82.067546
11,1.000000,1170.000000,190817.889765,214.767849,0.661406,0.411406,0.000000,44.892690,0.000000,0.030000,49.718873,3968.764269,96.705981
12,1.100000,1161.500000,190835.543097,230.271067,0.709287,0.459287,0.000000,44.713614,0.000000,0.030000,49.890761,3984.438377,112.488790
13,1.200000,1153.000000,190854.340020,245.849449,0.757429,0.507429,0.000000,44.545739,0.000000,0.030000,50.062648,4001.156448,129.424943
14,1.300000,1144.500000,190874.276056,261.496100,0.805812,0.558717,0.000000,44.387765,0.000000,0.030000,50.234535,4018.919992,147.522756
15,1.400000,1136.000000,190895.345711,277.194560,0.854386,0.631579,0.000000,44.238601,0.000000,0.030000,50.406423,4037.729962,166.789630
16,1.500000,1127.500000,190917.541830,292.928035,0.903103,0.704344,0.000000,44.097321,0.000000,0.030000,50.578310,4057.586155,187.231463
17,1.600000,1119.000000,190940.856025,308.685617,0.951931,0.772703,0.000000,43.963130,0.000000,0.030000,50.750197,4078.487594,208.853058
18,1.700000,1110.500000,190965.278877,324.455495,1.000835,0.840278,0.000000,43.835346,0.000000,0.030000,50.922085,4100.432689,231.658311
19,1.800000,1102.000000,190990.800382,340.248758,1.049851,0.856617,0.000000,43.713377,0.000000,0.030000,51.093972,4123.419630,255.650634
20,1.900000,1093.500000,191017.411956,356.082298,1.099034,0.869759,0.000000,43.596721,0.000000,0.030000,51.265859,4147.448195,280.834867
21,2.000000,1085.000000,191045.105532,371.971117,1.148432,0.850627,0.000000,43.484937,0.000000,0.030000,51.437747,4172.518945,307.216468
22,2.100000,1076.500000,191073.874477,387.933851,1.198105,0.830758,0.000000,43.377648,0.000000,0.030000,51.609634,4198.634064,334.802429
23,2.200000,1068.000000,191103.712376,403.969223,1.248051,0.815585,0.000000,43.274518,0.000000,0.030000,51.781521,4225.796275,363.600158
24,2.300000,1059.500000,191134.612302,420.074943,1.298265,0.800520,0.000000,43.175248,0.000000,0.030000,51.953409,4254.008174,393.616788
25,2.400000,1051.000000,191166.566845,436.244734,1.348731,0.795127,0.000000,43.079569,0.000000,0.030000,52.125296,4283.272256,424.859220
26,2.500000,1042.500000,191199.567536,452.469628,1.399422,0.790058,0.000000,42.987239,0.000000,0.030000,52.297183,4313.590384,457.333554
27,2.600000,1034.000000,191233.605469,468.754795,1.450357,0.778250,0.000000,42.898038,0.000000,0.030000,52.469071,4344.964351,491.045699
28,2.700000,1025.500000,191268.672035,485.107208,1.501561,0.766302,0.000000,42.811767,0.000000,0.030000,52.640958,4377.396550,526.002101
29,2.800000,1017.000000,191304.758548,501.528094,1.553039,0.754291,0.000000,42.728250,0.000000,0.030000,52.812845,4410.889645,562.209399
30,2.900000,1008.500000,191341.856104,518.018914,1.604798,0.742214,0.000000,42.647323,0.000000,0.030000,52.984733,4445.446433,599.674283
31,3.000000,1000.000000,191379.955595,534.581370,1.656847,0.730069,0.000000,42.568838,0.000000,0.030000,53.156620,4481.069862,638.403523
32,3.100000,991.500000,191419.047721,551.217422,1.709194,0.717855,0.000000,42.492660,0.000000,0.030000,53.328507,4517.763043,678.403984
33,3.200000,983.000000,191459.123003,567.929288,1.761848,0.705569,0.000000,42.418665,0.000000,0.030000,53.500395,4555.529264,719.682655
34,3.300000,974.500000,191500.171801,584.719462,1.814820,0.693209,0.000000,42.346738,0.000000,0.030000,53.672282,4594.372007,762.246662
35,3.400000,966.000000,191542.184328,601.590725,1.868121,0.680772,0.000000,42.276774,0.000000,0.030000,53.844170,4634.294962,806.103298
36,3.500000,957.500000,191585.150663,618.546151,1.921764,0.668255,0.000000,42.208677,0.000000,0.030000,54.016057,4675.302047,851.260048
37,3.600000,949.000000,191629.060769,635.589125,1.975762,0.655655,0.000000,42.142356,0.000000,0.030000,54.187944,4717.397423,897.724605
38,3.700000,940.500000,191673.904482,652.721224,2.030124,0.644979,0.000000,42.077729,0.000000,0.030000,54.359832,4760.585491,945.504878
39,3.720000,938.800000,191682.984326,656.157501,2.041037,0.643160,0.000000,42.065000,0.000000,0.030000,54.394209,4769.354605,955.219499
