N,t(s),m(kg),P(N),V(m/s),M,Cxa,alpha(deg),theta_c(deg),Cya,omega_z(1/s),theta(deg),y(m),x(m)
1,0.000000,1255.000000,190704.840808,65.000000,0.199929,0.300000,0.000000,48.000000,0.000000,0.030000,48.000000,3869.000000,0.000000
2,0.100000,1246.500000,190710.870897,79.504955,0.244560,0.300000,0.637407,47.534096,0.002781,0.029738,48.171503,3874.295061,4.807416
3,0.200000,1238.000000,190718.080169,94.112232,0.289515,0.300000,1.096189,47.243523,0.004783,0.028734,48.339713,3880.629450,10.634559
4,0.300000,1229.500000,190726.478419,108.820127,0.334792,0.300000,1.442534,47.057175,0.006294,0.026728,48.499710,3888.013865,17.484419
5,0.400000,1221.000000,190736.074829,123.628018,0.380389,0.300000,1.708265,46.936817,0.007454,0.023460,48.645082,3896.458841,25.360210
6,0.500000,1212.500000,190746.877876,138.535852,0.426308,0.300000,1.908403,46.859555,0.008327,0.018687,48.767957,3905.974681,34.265456
7,0.600000,1204.000000,190758.895177,153.543943,0.472554,0.300000,2.048796,46.810351,0.008940,0.012199,48.859148,3916.571325,44.204137
8,0.700000,1195.500000,190772.133304,168.652877,0.519129,0.300000,2.129961,46.778477,0.009294,0.003860,48.908438,3928.258199,55.180879
9,0.800000,1187.000000,190786.597554,183.862942,0.566036,0.316036,2.149357,46.755694,0.009378,-0.006408,48.905051,3941.044016,67.201171
10,0.900000,1178.500000,190802.291376,199.165089,0.613250,0.363250,2.101328,46.735257,0.009169,-0.019235,48.836585,3954.936271,80.271334
11,1.000000,1170.000000,190819.215568,214.552859,0.660753,0.410753,1.976374,46.711173,0.008624,-0.034759,48.687547,3969.940526,94.398367
12,1.100000,1161.500000,190837.368304,230.021952,0.708534,0.458534,1.765724,46.677842,0.007704,-0.052464,48.443566,3986.060430,109.590606
13,1.200000,1153.000000,190856.744800,245.567284,0.756580,0.506580,1.464631,46.630100,0.006391,-0.071219,48.094731,4003.297402,125.858068
14,1.300000,1144.500000,190877.336979,261.182774,0.804873,0.557310,1.076053,46.563469,0.004649,-0.089133,47.639522,4021.650314,143.212644
15,1.400000,1136.000000,190899.133105,276.853068,0.853369,0.630054,0.614759,46.474571,0.002396,-0.103516,47.089330,4041.115136,161.667950
16,1.500000,1127.500000,190922.117196,292.560434,0.902016,0.702822,0.110978,46.361773,0.000391,-0.111038,46.472751,4061.684377,181.238472
17,1.600000,1119.000000,190946.269992,308.293028,0.950777,0.771088,-0.387480,46.225804,-0.001696,-0.108040,45.838324,4083.347903,201.939274
18,1.700000,1110.500000,190971.570253,324.038506,0.999619,0.839466,-0.813181,46.070230,-0.004252,-0.090392,45.257049,4106.094064,223.785202
19,1.800000,1102.000000,190997.996633,339.804234,1.048564,0.856188,-1.083717,45.902149,-0.005827,-0.057150,44.818432,4129.911351,246.789648
20,1.900000,1093.500000,191025.532057,355.610384,1.097678,0.869419,-1.132172,45.732023,-0.005009,-0.014115,44.599851,4154.792343,270.964557
21,2.000000,1085.000000,191054.164992,371.470866,1.147005,0.851198,-0.940175,45.571562,-0.004102,0.028663,44.631387,4180.734896,296.317998
22,2.100000,1076.500000,191083.891168,387.407249,1.196614,0.831354,-0.542715,45.430809,-0.002368,0.061844,44.888094,4207.743780,322.854214
23,2.200000,1068.000000,191114.712149,403.418609,1.246506,0.816048,-0.026364,45.316340,-0.000115,0.076133,45.289976,4235.829465,350.573096
24,2.300000,1059.500000,191146.632594,419.500854,1.296669,0.800999,0.482334,45.229442,0.002105,0.065839,45.711776,4265.005711,379.470828
25,2.400000,1051.000000,191179.657333,435.647402,1.347086,0.795291,0.844927,45.165489,0.003687,0.031374,46.010416,4295.286935,409.542534
26,2.500000,1042.500000,191213.787344,451.848232,1.397728,0.790227,0.949165,45.114773,0.004142,-0.019402,46.063938,4326.684531,440.784975
27,2.600000,1034.000000,191249.017212,468.108678,1.448616,0.778656,0.750243,45.064845,0.003221,-0.071301,45.815087,4359.204477,473.199954
28,2.700000,1025.500000,191285.334417,484.437706,1.499778,0.766718,0.300807,45.004077,0.001269,-0.106038,45.304884,4392.846586,506.796754
29,2.800000,1017.000000,191322.719694,500.836438,1.551222,0.754715,-0.253476,44.925440,-0.001050,-0.109284,44.671964,4427.604725,541.591231
30,2.900000,1008.500000,191361.149917,517.305128,1.602949,0.742645,-0.715286,44.829003,-0.002910,-0.076785,44.113718,4463.469397,577.602611
31,3.000000,1000.000000,191400.602930,533.845057,1.654967,0.730508,-0.904990,44.722135,-0.003613,-0.018027,43.817146,4500.432190,614.849006
32,3.100000,991.500000,191441.062494,550.459435,1.707287,0.718300,-0.735714,44.616990,-0.002881,0.045304,43.881276,4538.490455,653.343023
33,3.200000,983.000000,191482.521241,567.151841,1.759925,0.706018,-0.262041,44.525904,-0.001006,0.086752,44.263863,4577.650202,693.089182
34,3.300000,974.500000,191524.979979,583.924181,1.812888,0.693659,0.325821,44.456344,0.001226,0.086340,44.782165,4617.925619,734.084403
35,3.400000,966.000000,191568.443225,600.777316,1.866183,0.681224,0.771253,44.407508,0.002842,0.041029,45.178761,4659.334992,776.321853
36,3.500000,957.500000,191612.912670,617.713825,1.919821,0.668708,0.863054,44.370310,0.003113,-0.031161,45.233364,4701.894536,819.797012
37,3.600000,949.000000,191658.381407,634.738747,1.973821,0.656108,0.542226,44.331150,0.001913,-0.096993,44.873376,4745.612801,864.513436
