N,t(s),m(kg),P(N),V(m/s),M,Cxa,alpha(deg),theta_c(deg),Cya,omega_z(1/s),theta(deg),y(m),x(m)
1,0.000000,1255.000000,190704.840808,65.000000,0.199929,0.300000,0.000000,48.000000,0.000000,0.030000,48.000000,3869.000000,0.000000
2,0.100000,1246.500000,190710.930218,79.510163,0.244576,0.300000,0.633226,47.538198,0.002763,0.029735,48.171423,3874.347166,4.858269
3,0.200000,1238.000000,190718.200128,94.122558,0.289548,0.300000,1.090122,47.249182,0.004757,0.028720,48.339304,3880.734887,10.736427
4,0.300000,1229.500000,190726.660165,108.835541,0.334840,0.300000,1.435347,47.063255,0.006263,0.026695,48.498602,3888.173734,17.637597
5,0.400000,1221.000000,190736.319387,123.648521,0.380453,0.300000,1.700047,46.942740,0.007418,0.023401,48.642787,3896.674154,25.565091
6,0.500000,1212.500000,190747.186154,138.561463,0.426388,0.300000,1.898902,46.864974,0.008286,0.018594,48.763876,3906.246367,34.522523
7,0.600000,1204.000000,190759.267967,153.574695,0.472650,0.300000,2.037576,46.815021,0.008891,0.012072,48.852597,3916.900234,44.513967
8,0.700000,1195.500000,190772.571264,168.688817,0.519242,0.300000,2.116504,46.782191,0.009235,0.003700,48.898695,3928.645085,55.544160
9,0.800000,1187.000000,190787.101192,183.903926,0.566165,0.316165,2.133137,46.758263,0.009308,-0.006604,48.891400,3941.489522,67.618717
10,0.900000,1178.500000,190802.860942,199.210549,0.613394,0.363394,2.081527,46.736488,0.009082,-0.019485,48.818016,3955.440837,80.744041
11,1.000000,1170.000000,190819.851044,214.602590,0.660911,0.410911,1.952226,46.710852,0.008518,-0.035025,48.663078,3970.504375,94.927263
12,1.100000,1161.500000,190838.069386,230.075705,0.708705,0.458705,1.736912,46.675752,0.007579,-0.052677,48.412663,3986.683554,110.176899
13,1.200000,1153.000000,190857.510870,245.624756,0.756763,0.506763,1.431632,46.626061,0.006247,-0.071270,48.057694,4003.979530,126.503166
14,1.300000,1144.500000,190878.167090,261.243517,0.805068,0.557602,1.040514,46.557395,0.004494,-0.088879,47.597909,4022.390903,143.918145
15,1.400000,1136.000000,190900.025943,276.915867,0.853571,0.630357,0.579807,46.466534,0.002259,-0.102799,47.046340,4041.913332,162.435539
16,1.500000,1127.500000,190923.071154,292.624574,0.902223,0.703112,0.081294,46.352070,0.000287,-0.109735,46.433364,4062.539075,182.069817
17,1.600000,1119.000000,190947.283375,308.357954,0.950988,0.771384,-0.405935,46.215001,-0.001778,-0.106098,45.809066,4084.257930,202.835919
18,1.700000,1110.500000,190972.641490,324.103498,0.999831,0.839764,-0.813654,46.059183,-0.004258,-0.087937,45.245529,4107.058369,224.748368
19,1.800000,1102.000000,190999.124715,339.871313,1.048784,0.856261,-1.061558,45.891970,-0.005709,-0.054834,44.830413,4130.929397,247.820130
20,1.900000,1093.500000,191026.716885,355.679587,1.097906,0.869477,-1.089119,45.723839,-0.004812,-0.012910,44.634720,4155.864428,272.062591
21,2.000000,1085.000000,191055.407379,371.543910,1.147247,0.851101,-0.885737,45.566117,-0.003865,0.028024,44.680379,4181.862165,297.483165
22,2.100000,1076.500000,191085.192697,387.484291,1.196870,0.831252,-0.491650,45.428223,-0.002145,0.058980,44.936573,4208.928107,324.085684
23,2.200000,1068.000000,191116.074583,403.499222,1.246774,0.815968,0.004290,45.315977,0.000019,0.071339,45.320267,4237.072923,351.869822
24,2.300000,1059.500000,191148.057306,419.584949,1.296950,0.800915,0.478636,45.229984,0.002088,0.060237,45.708619,4266.310053,380.832028
