N,t(s),m(kg),P(N),V(m/s),M,Cxa,alpha(deg),theta_c(deg),Cya,omega_z(1/s),theta(deg),y(m),x(m)
1,0.000000,1255.000000,190704.840808,65.000000,0.199929,0.300000,0.000000,48.000000,0.000000,0.030000,48.000000,3869.000000,0.000000
2,0.100000,1246.500000,190710.925735,79.510880,0.244579,0.300000,0.000000,47.477203,0.000000,0.030000,48.171887,3874.343228,4.860064
3,0.200000,1238.000000,190718.177994,94.126650,0.289560,0.300000,0.000000,47.038201,0.000000,0.030000,48.343775,3880.715432,10.752804
4,0.300000,1229.500000,190726.594350,108.846991,0.334875,0.300000,0.000000,46.659815,0.000000,0.030000,48.515662,3888.115841,17.693739
5,0.400000,1221.000000,190736.172364,123.671760,0.380524,0.300000,0.000000,46.327362,0.000000,0.030000,48.687549,3896.544712,25.697225
6,0.500000,1212.500000,190746.910103,138.600930,0.426509,0.300000,0.000000,46.030946,0.000000,0.030000,48.859437,3906.003082,34.776769
7,0.600000,1204.000000,190758.805946,153.634555,0.472832,0.300000,0.000000,45.763575,0.000000,0.030000,49.031324,3916.492599,44.945230
8,0.700000,1195.500000,190771.858449,168.772747,0.519496,0.300000,0.000000,45.520124,0.000000,0.030000,49.203211,3928.015406,56.214957
9,0.800000,1187.000000,190786.066242,184.015658,0.566503,0.316503,0.000000,45.296720,0.000000,0.030000,49.375099,3940.574052,68.597893
10,0.900000,1178.500000,190801.427775,199.351624,0.613819,0.363819,0.000000,45.090365,0.000000,0.030000,49.546986,3954.171276,82.105490
11,1.000000,1170.000000,190817.940214,214.774197,0.661426,0.411426,0.000000,44.898676,0.000000,0.030000,49.718873,3968.809024,96.747839
12,1.100000,1161.500000,190835.600354,230.278006,0.709309,0.459309,0.000000,44.719736,0.000000,0.030000,49.890761,3984.489257,112.534544
13,1.200000,1153.000000,190854.404394,245.856971,0.757453,0.507453,0.000000,44.551980,0.000000,0.030000,50.062648,4001.213753,129.474584
14,1.300000,1144.500000,190874.347853,261.504282,0.805837,0.558756,0.000000,44.394110,0.000000,0.030000,50.234535,4018.984026,147.576283
15,1.400000,1136.000000,190895.425434,277.203357,0.854414,0.631621,0.000000,44.245042,0.000000,0.030000,50.406423,4037.801205,166.847223
16,1.500000,1127.500000,190917.629830,292.937406,0.903133,0.704386,0.000000,44.103848,0.000000,0.030000,50.578310,4057.664962,187.293174
17,1.600000,1119.000000,190940.952611,308.695514,0.951962,0.772747,0.000000,43.969734,0.000000,0.030000,50.750197,4078.574281,208.918904
18,1.700000,1110.500000,190965.384392,324.465862,1.000868,0.840289,0.000000,43.842021,0.000000,0.030000,50.922085,4100.527610,231.728347
19,1.800000,1102.000000,190990.914563,340.259457,1.049886,0.856629,0.000000,43.720115,0.000000,0.030000,51.093972,4123.522598,255.724352
20,1.900000,1093.500000,191017.535009,356.093203,1.099069,0.869767,0.000000,43.603516,0.000000,0.030000,51.265859,4147.559447,280.912202
21,2.000000,1085.000000,191045.237223,371.982225,1.148468,0.850613,0.000000,43.491784,0.000000,0.030000,51.437747,4172.638323,307.296942
22,2.100000,1076.500000,191074.014919,387.945169,1.198142,0.830743,0.000000,43.384542,0.000000,0.030000,51.609634,4198.761729,334.885897
23,2.200000,1068.000000,191103.861776,403.980763,1.248089,0.815573,0.000000,43.281456,0.000000,0.030000,51.781521,4225.932475,363.686567
24,2.300000,1059.500000,191134.770806,420.086695,1.298304,0.800509,0.000000,43.182227,0.000000,0.030000,51.953409,4254.153107,393.706032
25,2.400000,1051.000000,191166.734758,436.256720,1.348770,0.795123,0.000000,43.086587,0.000000,0.030000,52.125296,4283.426272,424.951352
26,2.500000,1042.500000,191199.745028,452.481823,1.399463,0.790054,0.000000,42.994293,0.000000,0.030000,52.297183,4313.753713,457.428497
27,2.600000,1034.000000,191233.792537,468.767186,1.450399,0.778240,0.000000,42.905125,0.000000,0.030000,52.469071,4345.137068,491.143210
28,2.700000,1025.500000,191268.868793,485.119795,1.501603,0.766293,0.000000,42.818887,0.000000,0.030000,52.640958,4377.578844,526.102058
29,2.800000,1017.000000,191304.965108,501.540876,1.553082,0.754281,0.000000,42.735399,0.000000,0.030000,52.812845,4411.081705,562.311679
30,2.900000,1008.500000,191342.072573,518.031890,1.604843,0.742203,0.000000,42.654500,0.000000,0.030000,52.984733,4445.648451,599.778763
31,3.000000,1000.000000,191380.182072,534.594544,1.656892,0.730058,0.000000,42.576042,0.000000,0.030000,53.156620,4481.282026,638.510076
32,3.100000,991.500000,191419.284297,551.230795,1.709240,0.717844,0.000000,42.499890,0.000000,0.030000,53.328507,4517.985540,678.512481
33,3.200000,983.000000,191459.369765,567.942865,1.761895,0.705558,0.000000,42.425919,0.000000,0.030000,53.500395,4555.762282,719.792962
34,3.300000,974.500000,191500.428829,584.733250,1.814868,0.693197,0.000000,42.354014,0.000000,0.030000,53.672282,4594.615732,762.358646
35,3.400000,966.000000,191542.451695,601.604731,1.868171,0.680760,0.000000,42.284073,0.000000,0.030000,53.844170,4634.549580,806.216822
36,3.500000,957.500000,191585.428436,618.560384,1.921815,0.668243,0.000000,42.215996,0.000000,0.030000,54.016057,4675.567742,851.374970
37,3.600000,949.000000,191629.349008,635.603596,1.975814,0.655643,0.000000,42.149696,0.000000,0.030000,54.187944,4717.674380,897.840785
38,3.700000,940.500000,191674.203267,652.737330,2.030181,0.644970,0.000000,42.085088,0.000000,0.030000,54.359832,4760.873919,945.622197
39,3.720000,938.800000,191683.376232,656.180177,2.041118,0.643147,0.000000,42.072490,0.000000,0.030000,54.394209,4769.733285,955.443169
