N,t(s),m(kg),P(N),V(m/s),M,Cxa,alpha(deg),theta_c(deg),Cya,omega_z(1/s),theta(deg),y(m),x(m)
1,0.000000,1255.000000,190704.840808,65.000000,0.199929,0.300000,0.000000,48.000000,0.000000,0.030000,48.000000,3869.000000,0.000000
2,0.100000,1246.500000,190710.928125,79.510697,0.244578,0.300000,0.000000,47.475832,0.000000,0.030000,48.171887,3874.345327,4.860330
3,0.200000,1238.000000,190718.182418,94.126363,0.289559,0.300000,0.000000,47.036020,0.000000,0.030000,48.343775,3880.719321,10.753652
4,0.300000,1229.500000,190726.600533,108.846645,0.334874,0.300000,0.000000,46.657114,0.000000,0.030000,48.515662,3888.121280,17.695414
5,0.400000,1221.000000,190736.180081,123.671386,0.380522,0.300000,0.000000,46.324307,0.000000,0.030000,48.687549,3896.551506,25.699929
6,0.500000,1212.500000,190746.919158,138.600549,0.426508,0.300000,0.000000,46.027639,0.000000,0.030000,48.859437,3906.011062,34.780679
7,0.600000,1204.000000,190758.816164,153.634182,0.472831,0.300000,0.000000,45.760080,0.000000,0.030000,49.031324,3916.501614,44.950503
8,0.700000,1195.500000,190771.869669,168.772391,0.519495,0.300000,0.000000,45.516485,0.000000,0.030000,49.203211,3928.025317,56.221740
9,0.800000,1187.000000,190786.078315,184.014580,0.566500,0.316500,0.000000,45.292969,0.000000,0.030000,49.375099,3940.584731,68.606321
10,0.900000,1178.500000,190801.440301,199.350366,0.613815,0.363815,0.000000,45.086520,0.000000,0.030000,49.546986,3954.182372,82.115466
11,1.000000,1170.000000,190817.952975,214.772733,0.661421,0.411421,0.000000,44.894753,0.000000,0.030000,49.718873,3968.820345,96.759414
12,1.100000,1161.500000,190835.613124,230.276309,0.709304,0.459304,0.000000,44.715748,0.000000,0.030000,49.890761,3984.500605,112.547753
13,1.200000,1153.000000,190854.416938,245.855014,0.757447,0.507447,0.000000,44.547935,0.000000,0.030000,50.062648,4001.224920,129.489446
14,1.300000,1144.500000,190874.359931,261.501763,0.805830,0.558745,0.000000,44.390017,0.000000,0.030000,50.234535,4018.994798,147.592806
15,1.400000,1136.000000,190895.436582,277.200379,0.854405,0.631608,0.000000,44.240904,0.000000,0.030000,50.406423,4037.811168,166.865204
16,1.500000,1127.500000,190917.639733,292.933975,0.903122,0.704371,0.000000,44.099670,0.000000,0.030000,50.578310,4057.673830,187.312539
17,1.600000,1119.000000,190940.960989,308.691594,0.951950,0.772731,0.000000,43.965521,0.000000,0.030000,50.750197,4078.581801,208.939608
18,1.700000,1110.500000,190965.390920,324.461569,1.000855,0.840285,0.000000,43.837774,0.000000,0.030000,50.922085,4100.533482,231.750294
19,1.800000,1102.000000,190990.919535,340.254994,1.049872,0.856624,0.000000,43.715841,0.000000,0.030000,51.093972,4123.527081,255.748027
20,1.900000,1093.500000,191017.538260,356.088736,1.099056,0.869764,0.000000,43.599216,0.000000,0.030000,51.265859,4147.562385,280.937653
21,2.000000,1085.000000,191045.239039,371.977989,1.148455,0.850618,0.000000,43.487463,0.000000,0.030000,51.437747,4172.639969,307.324644
22,2.100000,1076.500000,191074.015244,387.941064,1.198129,0.830748,0.000000,43.380202,0.000000,0.030000,51.609634,4198.762024,334.915999
23,2.200000,1068.000000,191103.860455,403.976717,1.248076,0.815577,0.000000,43.277098,0.000000,0.030000,51.781521,4225.931271,363.719120
24,2.300000,1059.500000,191134.767744,420.082759,1.298292,0.800513,0.000000,43.177853,0.000000,0.030000,51.953409,4254.150307,393.741144
25,2.400000,1051.000000,191166.729686,436.252713,1.348758,0.795124,0.000000,43.082198,0.000000,0.030000,52.125296,4283.421620,424.988958
26,2.500000,1042.500000,191199.737810,452.477839,1.399450,0.790055,0.000000,42.989889,0.000000,0.030000,52.297183,4313.747072,457.468661
27,2.600000,1034.000000,191233.783213,468.763328,1.450387,0.778243,0.000000,42.900708,0.000000,0.030000,52.469071,4345.128459,491.186167
28,2.700000,1025.500000,191268.857286,485.116049,1.501592,0.766295,0.000000,42.814457,0.000000,0.030000,52.640958,4377.568183,526.147927
29,2.800000,1017.000000,191304.951343,501.537252,1.553071,0.754283,0.000000,42.730958,0.000000,0.030000,52.812845,4411.068906,562.360577
30,2.900000,1008.500000,191342.056477,518.028399,1.604832,0.742206,0.000000,42.650049,0.000000,0.030000,52.984733,4445.633429,599.830812
31,3.000000,1000.000000,191380.163579,534.591194,1.656882,0.730061,0.000000,42.571581,0.000000,0.030000,53.156620,4481.264701,638.565401
32,3.100000,991.500000,191419.263346,551.227597,1.709230,0.717846,0.000000,42.495419,0.000000,0.030000,53.328507,4517.965836,678.571211
33,3.200000,983.000000,191459.346300,567.939830,1.761885,0.705560,0.000000,42.421439,0.000000,0.030000,53.500395,4555.740124,719.855230
34,3.300000,974.500000,191500.402798,584.730388,1.814859,0.693200,0.000000,42.349526,0.000000,0.030000,53.672282,4594.591048,762.424588
35,3.400000,966.000000,191542.423053,601.602052,1.868162,0.680762,0.000000,42.279577,0.000000,0.030000,53.844170,4634.522303,806.286581
36,3.500000,957.500000,191585.397143,618.557900,1.921806,0.668245,0.000000,42.211493,0.000000,0.030000,54.016057,4675.537809,851.448693
37,3.600000,949.000000,191629.315029,635.601318,1.975806,0.655645,0.000000,42.145185,0.000000,0.030000,54.187944,4717.641731,897.918622
38,3.700000,940.500000,191674.166556,652.734189,2.030171,0.644972,0.000000,42.080571,0.000000,0.030000,54.359832,4760.838480,945.704287
39,3.720000,938.800000,191683.338921,656.177069,2.041107,0.643149,0.000000,42.067971,0.000000,0.030000,54.394209,4769.697233,955.526092
