N,t(s),m(kg),P(N),V(m/s),M,Cxa,alpha(deg),theta_c(deg),Cya,omega_z(1/s),theta(deg),y(m),x(m)
1,0.000000,1255.000000,190704.840808,65.000000,0.199929,0.300000,0.000000,48.000000,0.000000,0.030000,48.000000,3869.000000,0.000000
2,0.100000,1246.500000,190710.928125,79.510697,0.244578,0.300000,0.696056,47.475832,0.003037,0.030000,48.171887,3874.345327,4.860330
3,0.200000,1238.000000,190718.189998,94.124492,0.289553,0.300000,1.181536,47.160023,0.005155,0.029181,48.341559,3880.725984,10.746333
4,0.300000,1229.500000,190726.637867,108.838959,0.334850,0.300000,1.540442,46.963140,0.006721,0.027284,48.503581,3888.154120,17.659421
5,0.400000,1221.000000,190736.281928,123.653246,0.380467,0.300000,1.811309,46.839706,0.007903,0.024043,48.651015,3896.641175,25.601818
6,0.500000,1212.500000,190747.131384,138.567218,0.426406,0.300000,2.011818,46.763608,0.008778,0.019202,48.775426,3906.198098,34.576331
7,0.600000,1204.000000,190759.194436,153.581153,0.472670,0.300000,2.148753,46.718245,0.009376,0.012536,48.866998,3916.835357,44.586355
8,0.700000,1195.500000,190772.478164,168.695628,0.519262,0.300000,2.222748,46.692058,0.009699,0.003884,48.914806,3928.562841,55.635994
9,0.800000,1187.000000,190786.988347,183.910730,0.566185,0.316185,2.230968,46.676316,0.009734,-0.006872,48.907284,3941.389701,67.730250
10,0.900000,1178.500000,190802.728782,199.217007,0.613413,0.363413,2.166568,46.663960,0.009453,-0.020461,48.830528,3955.323756,80.874890
11,1.000000,1170.000000,190819.700640,214.608401,0.660928,0.410928,2.018681,46.648804,0.008808,-0.037065,48.667486,3970.370921,95.076412
12,1.100000,1161.500000,190837.902458,230.080657,0.708719,0.458719,1.777108,46.624994,0.007754,-0.056233,48.402102,3986.535183,110.342686
13,1.200000,1153.000000,190857.329737,245.628789,0.756774,0.506774,1.435795,46.586946,0.006265,-0.076857,48.022742,4003.818241,126.683331
14,1.300000,1144.500000,190877.974539,261.246610,0.805076,0.557614,0.996955,46.529536,0.004306,-0.096981,47.526491,4022.219113,144.109984
15,1.400000,1136.000000,190899.824915,276.918514,0.853578,0.630367,0.475911,46.448470,0.001854,-0.113676,46.924381,4041.733608,162.636191
16,1.500000,1127.500000,190922.864292,292.627198,0.902229,0.703121,-0.094170,46.340963,-0.000332,-0.123110,46.246792,4062.353731,182.276771
17,1.600000,1119.000000,190947.072321,308.360749,0.950995,0.771393,-0.658767,46.206469,-0.002886,-0.120833,45.547702,4084.068395,203.047651
18,1.700000,1110.500000,190972.426011,324.106222,0.999837,0.839772,-1.137312,46.047286,-0.005952,-0.101100,44.909974,4106.864391,224.965104
19,1.800000,1102.000000,190998.901789,339.873175,1.048788,0.856263,-1.426827,45.869640,-0.007673,-0.061213,44.442812,4130.728207,248.044649
20,1.900000,1093.500000,191026.480070,355.679595,1.097903,0.869476,-1.437183,45.684483,-0.006350,-0.006566,44.247300,4155.650137,272.300718
21,2.000000,1085.000000,191055.147158,371.541950,1.147237,0.851105,-1.132027,45.506036,-0.004939,0.051425,44.374009,4181.626045,297.743497
22,2.100000,1076.500000,191084.898087,387.481089,1.196856,0.831258,-0.541808,45.348590,-0.002364,0.100152,44.806783,4208.660014,324.378167
23,2.200000,1068.000000,191115.735932,403.496377,1.246760,0.815972,0.227164,45.223870,0.000991,0.124998,45.451034,4236.763830,352.203363
24,2.300000,1059.500000,191147.669615,419.583174,1.296938,0.800918,0.997908,45.137870,0.004354,0.113910,46.135777,4265.955100,381.211475
25,2.400000,1051.000000,191180.710484,435.731733,1.347363,0.795264,1.552919,45.088465,0.006776,0.062001,46.641385,4296.254204,411.391482
26,2.500000,1042.500000,191214.866820,451.931466,1.398003,0.790200,1.687516,45.064593,0.007363,-0.024283,46.752109,4327.679300,442.732957
27,2.600000,1034.000000,191250.139052,468.189761,1.448886,0.778593,1.282986,45.047675,0.005507,-0.123692,46.330661,4360.241878,475.231966
28,2.700000,1025.500000,191286.516158,484.518419,1.500049,0.766655,0.380331,45.015763,0.001604,-0.203183,45.396094,4393.943312,508.896364
29,2.800000,1017.000000,191323.973642,500.920017,1.551503,0.754649,-0.788394,44.950066,-0.003266,-0.227904,44.161672,4428.772795,543.747074
30,2.900000,1008.500000,191362.475915,517.390928,1.603240,0.742577,-1.833532,44.841895,-0.007458,-0.174282,43.008362,4464.709330,579.815020
31,3.000000,1000.000000,191401.983721,533.926830,1.655247,0.730442,-2.317559,44.697649,-0.009252,-0.044116,42.380091,4501.728479,617.133766
32,3.100000,991.500000,191442.465290,550.532079,1.707541,0.718240,-1.924293,44.539279,-0.007536,0.127246,42.614986,4539.812780,655.729658
33,3.200000,983.000000,191483.907490,567.219681,1.760164,0.705962,-0.633556,44.398704,-0.002433,0.275166,43.765147,4578.962424,695.612652
34,3.300000,974.500000,191526.321392,583.996692,1.813142,0.693600,1.178897,44.306742,0.004436,0.325700,45.485639,4619.200894,736.771311
35,3.400000,966.000000,191569.737649,600.852519,1.866446,0.681163,2.794861,44.279592,0.010299,0.228353,47.074453,4660.571076,779.175264
36,3.500000,957.500000,191614.191512,617.773102,1.920035,0.668658,3.395328,44.308281,0.012247,-0.009999,47.703609,4703.121339,822.787295
37,3.600000,949.000000,191659.702626,634.769461,1.973948,0.656079,2.438190,44.357125,0.008603,-0.308543,46.795315,4746.886235,867.583480
38,3.700000,940.500000,191706.257409,651.872560,2.028285,0.645286,0.023279,44.374560,0.000082,-0.529660,44.397839,4791.869140,913.573321
39,3.720000,938.800000,191715.785085,655.313323,2.039228,0.643462,-0.572919,44.362560,-0.002033,-0.530100,43.789641,4801.102059,923.020020
