N,t(s),m(kg),P(N),V(m/s),M,Cxa,alpha(deg),theta_c(deg),Cya,omega_z(1/s),theta(deg),y(m),x(m)
1,0.000000,1255.000000,190704.840808,65.000000,0.199929,0.300000,0.000000,48.000000,0.000000,0.030000,48.000000,3869.000000,0.000000
2,0.100000,1246.500000,190710.930541,79.509844,0.244575,0.300000,0.627090,47.544267,0.002736,0.029712,48.171357,3874.347449,4.857966
3,0.200000,1238.000000,190718.201305,94.121799,0.289545,0.300000,1.081043,47.258007,0.004717,0.028678,48.339050,3880.735922,10.735259
4,0.300000,1229.500000,190726.662573,108.834284,0.334836,0.300000,1.424793,47.073277,0.006217,0.026641,48.498070,3888.175853,17.635146
5,0.400000,1221.000000,190736.323294,123.646726,0.380447,0.300000,1.688788,46.953131,0.007369,0.023340,48.641919,3896.677594,25.561034
6,0.500000,1212.500000,190747.191740,138.559101,0.426381,0.300000,1.887412,46.875244,0.008235,0.018535,48.762656,3906.251290,34.516612
7,0.600000,1204.000000,190759.275336,153.571738,0.472641,0.300000,2.026211,46.824848,0.008841,0.012025,48.851059,3916.906735,44.506022
8,0.700000,1195.500000,190772.580446,168.685238,0.519231,0.300000,2.105594,46.791342,0.009187,0.003677,48.896936,3928.653196,55.534062
9,0.800000,1187.000000,190787.112149,183.899694,0.566152,0.316152,2.123070,46.766561,0.009264,-0.006587,48.889631,3941.499215,67.606417
10,0.900000,1178.500000,190802.873550,199.205637,0.613379,0.363379,2.072698,46.743792,0.009044,-0.019402,48.816490,3955.452006,80.729543
11,1.000000,1170.000000,190819.865107,214.596948,0.660894,0.410894,1.945226,46.717036,0.008488,-0.034842,48.662262,3970.516853,94.910644
12,1.100000,1161.500000,190838.084629,230.069264,0.708686,0.458686,1.732527,46.680727,0.007560,-0.052348,48.413254,3986.697102,110.158305
13,1.200000,1153.000000,190857.526942,245.617421,0.756741,0.506741,1.430867,46.629795,0.006243,-0.070745,48.060662,4003.993842,126.482801
14,1.300000,1144.500000,190878.183587,261.235007,0.805042,0.557563,1.044566,46.559943,0.004512,-0.088115,47.604508,4022.405622,143.896252
15,1.400000,1136.000000,190900.042426,276.906208,0.853542,0.630313,0.589949,46.468075,0.002298,-0.101778,47.058024,4041.928068,162.412348
16,1.500000,1127.500000,190923.087238,292.613605,0.902189,0.703065,0.098614,46.352936,0.000348,-0.108498,46.451550,4062.553486,182.045512
17,1.600000,1119.000000,190947.298794,308.345459,0.950950,0.771330,-0.380992,46.215680,-0.001669,-0.104785,45.834688,4084.271778,202.810552
18,1.700000,1110.500000,190972.656181,324.089318,0.999788,0.839703,-0.781997,46.060303,-0.004092,-0.086863,45.278306,4107.071594,224.721768
19,1.800000,1102.000000,190999.138918,339.855185,1.048735,0.856245,-1.026562,45.894219,-0.005521,-0.054482,44.867657,4130.942215,247.791834
20,1.900000,1093.500000,191026.731157,355.661365,1.097850,0.869463,-1.057203,45.727760,-0.004672,-0.013794,44.670557,4155.877342,272.031805
21,2.000000,1085.000000,191055.422514,371.523416,1.147183,0.851127,-0.864777,45.571879,-0.003773,0.025688,44.707102,4181.875899,297.448874
22,2.100000,1076.500000,191085.209485,387.460959,1.196798,0.831281,-0.489659,45.435510,-0.002137,0.055306,44.945851,4208.943385,324.046788
23,2.200000,1068.000000,191116.093546,403.472685,1.246692,0.815992,-0.017978,45.323967,-0.000078,0.066992,45.305989,4237.090231,351.825410
24,2.300000,1059.500000,191148.078430,419.555012,1.296857,0.800943,0.432530,45.237504,0.001887,0.056403,45.670035,4266.329394,380.781650
25,2.400000,1051.000000,191181.167305,435.700794,1.347274,0.795273,0.740296,45.171093,0.003230,0.024924,45.911389,4296.673803,410.912007
26,2.500000,1042.500000,191215.359184,451.900961,1.397917,0.790208,0.814406,45.115538,0.003554,-0.019539,45.929944,4328.133063,442.214925
27,2.600000,1034.000000,191250.647123,468.161212,1.448806,0.778612,0.628771,45.059857,0.002699,-0.063241,45.688628,4360.711746,474.693696
28,2.700000,1025.500000,191287.018097,484.489540,1.499968,0.766674,0.241995,44.994510,0.001021,-0.090878,45.236504,4394.409180,508.358128
29,2.800000,1017.000000,191324.453760,500.887066,1.551410,0.754671,-0.214374,44.914435,-0.000888,-0.091575,44.700061,4429.220070,543.223158
30,2.900000,1008.500000,191362.933308,517.354470,1.603135,0.742602,-0.576925,44.820698,-0.002347,-0.063552,44.243773,4465.137073,579.305800
31,3.000000,1000.000000,191402.437580,533.893332,1.655152,0.730465,-0.709723,44.720061,-0.002833,-0.016167,44.010338,4502.154601,616.621387
32,3.100000,991.500000,191442.952731,550.506486,1.707471,0.718257,-0.560881,44.622432,-0.002196,0.032488,44.061551,4540.272304,655.180302
33,3.200000,983.000000,191484.471884,567.196879,1.760105,0.705975,-0.191114,44.536988,-0.000734,0.062294,44.345874,4579.496732,694.986518
34,3.300000,974.500000,191526.993822,583.966508,1.813063,0.693619,0.243358,44.468458,0.000916,0.059851,44.711816,4619.840235,736.038689
35,3.400000,966.000000,191570.519093,600.817074,1.866353,0.681184,0.552958,44.415139,0.002038,0.025390,44.968097,4661.317379,778.333608
36,3.500000,957.500000,191615.045155,617.751509,1.919988,0.668670,0.599074,44.369648,0.002161,-0.025932,44.968722,4703.940335,821.870782
37,3.600000,949.000000,191660.562723,634.774091,1.973983,0.656071,0.362359,44.322231,0.001279,-0.069989,44.684590,4747.715319,866.656099
38,3.700000,940.500000,191707.055052,651.887714,2.028352,0.645275,-0.041293,44.265251,-0.000146,-0.084948,44.223958,4792.641753,912.702678
